,gender,race,age,dir,p_year,party,major,degree,avg
0,1,1,6,3,6,1,4.0,3,1
1,1,1,6,6,5,1,2.0,3,1
2,1,1,7,2,5,1,1.0,2,1
3,1,1,6,6,5,1,3.0,2,1
4,1,1,6,6,5,1,4.0,2,0
5,1,1,5,3,5,1,1.0,4,1
6,1,1,6,6,5,1,2.0,2,1
7,1,1,4,6,5,1,5.0,2,1
8,1,1,7,2,6,1,7.0,2,1
9,1,1,6,2,5,1,1.0,2,1
10,1,1,7,6,6,1,1.0,4,1
11,2,1,7,2,6,1,1.0,4,1
12,1,1,5,3,5,1,1.0,2,1
13,1,1,5,6,5,1,1.0,2,1
14,1,1,5,6,5,1,3.0,1,1
15,1,1,7,6,6,1,9.0,3,0
16,1,1,6,6,6,1,1.0,4,0
17,1,1,7,3,6,1,1.0,4,1
18,1,1,6,6,5,1,3.0,2,0
19,1,1,6,5,5,1,1.0,3,1
20,1,1,5,6,5,1,1.0,4,1
21,1,1,4,5,5,1,3.0,1,1
22,1,1,6,6,6,1,1.0,3,1
23,1,1,5,6,5,1,1.0,3,1
24,1,1,6,6,5,1,2.0,3,1
25,1,1,6,2,6,1,2.0,2,1
26,1,1,6,6,6,1,4.0,2,0
27,1,1,6,5,6,1,1.0,2,1
28,2,1,5,6,5,1,1.0,4,1
29,1,1,6,5,5,1,2.0,1,1
30,1,2,6,3,5,1,2.0,1,0
31,1,1,5,5,1.0,3,4.0,3,0
32,1,1,6,6,1.0,3,11.0,3,0
33,1,1,5,1,5,1,1.0,4,1
34,1,2,6,4,6,1,1.0,4,1
35,1,1,5,6,1.0,3,5.0,3,0
36,1,1,5,6,1.0,3,4.0,3,1
37,1,1,5,6,1.0,3,3.0,3,1
38,1,1,5,2,1.0,3,5.0,3,1
39,1,1,6,1,6,1,3.0,2,1
40,1,1,6,2,5,1,2.0,2,0
41,1,1,5,1,4,1,2.0,3,1
42,1,1,6,6,5,1,1.0,4,1
43,1,1,6,6,6,1,2.0,2,0
44,1,2,7,4,2.0,2,9.0,1,0
45,1,1,6,6,1.0,3,3.0,3,0
46,1,1,6,7,2.0,2,2.0,1,1
47,1,1,6,6,5,1,2.0,1,1
48,1,2,5,3,5,1,4.0,3,1
49,1,2,6,7,4,1,2.0,1,0
50,1,1,6,1,1.0,3,3.0,3,0
51,1,1,6,6,2.0,2,2.0,1,0
52,1,1,6,2,6,1,2.0,3,1
53,1,1,6,6,5,1,1.0,4,1
54,2,1,6,1,5,1,2.0,3,1
55,1,2,6,1,5,1,2.0,2,0
56,1,1,5,6,4,1,4.0,3,1
57,1,1,6,7,5,1,2.0,3,1
58,2,1,5,7,1.0,3,4.0,1,1
59,1,1,5,5,1.0,3,3.0,1,0
60,1,1,5,5,1.0,3,2.0,3,0
61,1,1,6,2,1.0,3,9.0,3,0
62,1,1,6,1,1.0,3,11.0,3,1
63,1,1,5,1,1.0,3,9.0,3,1
64,1,1,5,6,1.0,3,3.0,3,1
65,1,1,5,2,4,1,2.0,2,1
66,2,1,3,2,4,1,4.0,1,1
67,1,1,4,6,5,1,2.0,1,1
68,1,1,4,1,5,1,3.0,3,0
69,1,1,4,6,4,1,1.0,3,1
70,1,1,2,5,4,1,2.0,3,1
71,1,1,4,1,5,1,2.0,2,1
72,1,2,3,1,4,1,1.0,2,1
